# Plane = x
# Current [A]     Beam Size [m]  
0.598990023     0.0008414723   
0.600220740     0.0008414823   
0.599449039     0.0008417978   
0.599217236     0.0008424051   
0.681128442     0.0008104447   
0.679436564     0.0008105973   
0.680069864     0.0008111398   
0.680070102     0.0008113000   
0.760370493     0.0007809954   
0.759081304     0.0007812714   
0.761031628     0.0007817147   
0.759436965     0.0007821159   
0.839325309     0.0007591317   
0.839334071     0.0007592097   
0.839748502     0.0007593602   
0.839280903     0.0007595478   
0.919781864     0.0007458269   
0.918959022     0.0007462129   
0.921159148     0.0007466326   
0.919092894     0.0007466853   
1.000589371     0.0007377912   
0.999591887     0.0007384110   
0.999185860     0.0007394983   
1.000373125     0.0007395716   
1.078858733     0.0007423122   
1.080329657     0.0007424178   
1.079340696     0.0007427010   
1.079244256     0.0007427669   
1.160750270     0.0007411663   
1.160825968     0.0007570883   
1.159402370     0.0007572138   
1.159060955     0.0007583752   
1.239489675     0.0007633169   
1.240665674     0.0007636210   
1.240389347     0.0007637415   
1.240582347     0.0007640472   
1.319819212     0.0007973241   
1.321042657     0.0007973782   
1.318892479     0.0007973893   
1.319997787     0.0007973965   
1.399779797     0.0008357004   
1.399216652     0.0008359513   
1.399838448     0.0008363183   
1.400137186     0.0008363183   
